Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
house-votes-84-data,6,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,66.0,52.0,14.0,0.0,78.78787878787878,21.21212121212121,0.0,0.11494252873563196,0.21161884027786354,0.35622826507258615,69.75583994344393,92.33396381973516,45.17290227089329,38.19788194706437,6.975020323828922,0.6844379131953529,0.5787557870767328,0.10568212611862003,7.534862234839575,0.11416457931575114,1070.9286419756793,0.9259259259259259,50.0,0.8333333333333334,10.0,0.16666666666666666,2.0,0.07407407407407407,4.0,0.8333333333333334,0.9259259259259259,0.8771929824561403,0.12422599874998831,0.6012906846240179,0.6827104261911349,0.7878787878787878,0.6952861952861953,0.3047138047138047,0.21212121212121213,0.7424242424242424,0.7878787878787878,0.758107389686337,0.1242259987499883,0.6406519742883379,0.6207407176352071,0.5497076023391813,0.7878787878787878,0.002,0.0,0.0,0.0,0.0,0.0,7695.0,60877.0,17812.0,98.48484848484848,72.72727272727273,'Number of leaves: 8\nSize of the tree: 15\n',15.0,8.0,8.0
house-votes-84-data,6,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,67.0,54.0,13.0,0.0,80.59701492537313,19.402985074626866,0.0,0.0,0.30760967887833546,0.39554168934004363,99.53194802051004,100.01094357679726,47.56986759468098,47.58076414568782,-0.01089655100684439,0.7099980238012087,0.710160658890863,-1.6263508965439388E-4,0.17194020631785123,0.002566271736087332,24.66134420091113,1.0,54.0,1.0,13.0,0.0,0.0,0.0,0.0,0.8059701492537313,1.0,0.8925619834710743,NaN,0.5,0.6206896551724138,0.8059701492537313,0.8059701492537313,0.19402985074626866,0.19402985074626866,NaN,0.8059701492537313,NaN,NaN,0.5,0.5292503002230229,NaN,0.8059701492537313,0.002,0.0,0.0,0.0,0.0,0.0,4906.0,60877.0,17812.0,100.0,100.0,'Number of leaves: 1\nSize of the tree: 1\n',1.0,1.0,1.0
house-votes-84-data,6,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,66.0,46.0,20.0,0.0,69.6969696969697,30.303030303030305,0.0,0.04208998548621192,0.25391336084039756,0.3833439697404971,81.78507118862157,96.35932006662696,47.27358570474975,1108.8356859911087,-1061.5621002863588,0.7162664500719659,16.80054069683498,-16.084274246763012,1.5305939956726964,0.023190818116252974,220.0024471920629,0.8113207547169812,43.0,0.7692307692307693,10.0,0.23076923076923078,3.0,0.18867924528301888,10.0,0.8113207547169812,0.8113207547169812,0.8113207547169812,0.0420899854862119,0.6051609322974473,0.6905989381912131,0.696969696969697,0.6548797114834851,0.34512028851651494,0.30303030303030304,0.696969696969697,0.696969696969697,0.696969696969697,0.0420899854862119,0.6458724767548297,0.6203727404089612,0.521044992743106,0.696969696969697,0.003,0.0,0.0,0.0,0.0,0.0,7695.0,60877.0,17812.0,98.48484848484848,74.24242424242425,'Number of leaves: 8\nSize of the tree: 15\n',15.0,8.0,8.0
house-votes-84-data,7,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,66.0,54.0,12.0,0.0,81.81818181818181,18.181818181818183,0.0,0.0,0.30188679245283034,0.38575562830680893,99.51083158630337,99.98742300834101,45.17290227089329,45.161316108609476,0.011586162283812484,0.6844379131953529,0.6842623652819617,1.7554791339109826E-4,0.17441464584533828,0.002642646149171792,24.78952288631911,1.0,54.0,1.0,12.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,0.9,NaN,0.5,0.6206896551724138,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.18181818181818182,NaN,0.8181818181818182,NaN,NaN,0.5,0.5329153605015674,NaN,0.8181818181818182,0.002,0.0,0.0,0.0,0.0,0.0,4906.0,60877.0,17812.0,100.0,100.0,'Number of leaves: 1\nSize of the tree: 1\n',1.0,1.0,1.0
house-votes-84-data,7,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,66.0,54.0,12.0,0.0,81.81818181818181,18.181818181818183,0.0,0.0,0.30188679245283034,0.38575562830680893,99.51083158630337,99.98742300834101,45.17290227089329,45.161316108609476,0.011586162283812484,0.6844379131953529,0.6842623652819617,1.7554791339109826E-4,0.17441464584533828,0.002642646149171792,24.78952288631911,1.0,54.0,1.0,12.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,0.9,NaN,0.5,0.6206896551724138,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.18181818181818182,NaN,0.8181818181818182,NaN,NaN,0.5,0.5329153605015674,NaN,0.8181818181818182,0.002,0.0,0.015625,0.0,15.625,0.0,4906.0,60877.0,17812.0,100.0,100.0,'Number of leaves: 1\nSize of the tree: 1\n',1.0,1.0,1.0
house-votes-84-data,7,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,66.0,47.0,19.0,0.0,71.21212121212122,28.78787878787879,0.0,0.16733067729083673,0.2679138757423312,0.42912364359465177,88.31235163358329,111.22836357128445,45.17290227089329,4330.940031874126,-4285.767129603233,0.6844379131953529,65.62030351324434,-64.93586560004898,-3.9982542669619936,-0.06057961010548475,-568.2711745667687,0.7777777777777778,42.0,0.5833333333333334,7.0,0.4166666666666667,5.0,0.2222222222222222,12.0,0.8571428571428571,0.7777777777777778,0.8155339805825242,0.17149858514250885,0.5485409652076318,0.6509827542068205,0.7121212121212122,0.5176767676767677,0.4823232323232324,0.2878787878787879,0.7547746371275783,0.7121212121212122,0.7299509997869557,0.17149858514250882,0.5776951331496786,0.5745891547142404,0.5801807833947104,0.7121212121212122,0.002,0.0,0.0,0.0,0.0,0.0,8059.0,60877.0,17812.0,92.42424242424242,69.6969696969697,'Number of leaves: 9\nSize of the tree: 17\n',17.0,9.0,9.0
house-votes-84-data,7,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,67.0,54.0,13.0,0.0,80.59701492537313,19.402985074626866,0.0,0.0,0.30760967887833546,0.39554168934004363,99.53194802051004,100.01094357679726,47.56986759468098,47.58076414568782,-0.01089655100684439,0.7099980238012087,0.710160658890863,-1.6263508965439388E-4,0.17194020631785123,0.002566271736087332,24.66134420091113,1.0,54.0,1.0,13.0,0.0,0.0,0.0,0.0,0.8059701492537313,1.0,0.8925619834710743,NaN,0.5,0.6206896551724138,0.8059701492537313,0.8059701492537313,0.19402985074626866,0.19402985074626866,NaN,0.8059701492537313,NaN,NaN,0.5,0.5292503002230229,NaN,0.8059701492537313,0.003,0.0,0.0,0.015625,0.0,15.625,4906.0,60877.0,17812.0,100.0,100.0,'Number of leaves: 1\nSize of the tree: 1\n',1.0,1.0,1.0
house-votes-84-data,7,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,66.0,53.0,13.0,0.0,80.3030303030303,19.696969696969695,0.0,0.15717092337917468,0.1944206710295967,0.33772421818763937,62.622574755685484,84.89210370681936,47.27358570474975,30.684380346485117,16.589205358264632,0.7162664500719659,0.464914853734623,0.2513515963373429,14.277666861969427,0.21632828578741556,2052.223946197941,0.9622641509433962,51.0,0.8461538461538461,11.0,0.15384615384615385,2.0,0.03773584905660377,2.0,0.8225806451612904,0.9622641509433962,0.8869565217391304,0.19353278024377968,0.6759156492785794,0.7215703175472731,0.803030303030303,0.6869199982407529,0.3130800017592471,0.19696969696969696,0.7590420332355817,0.803030303030303,0.7585987754785709,0.19353278024377965,0.7193778002601532,0.6742326599861551,0.5611253196930946,0.803030303030303,0.003,0.04,0.0,0.0,0.0,0.0,6967.0,60877.0,17812.0,100.0,69.6969696969697,'Number of leaves: 6\nSize of the tree: 11\n',11.0,6.0,6.0
house-votes-84-data,8,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,67.0,47.0,20.0,0.0,70.14925373134328,29.850746268656717,0.0,-0.013615733736762293,0.24188772477434559,0.3801399434254337,78.26657645113262,96.11668114337263,47.56986759468096,38.297826976667096,9.272040618013861,0.7099980238012084,0.5716093578607029,0.1383886659405054,3.6447355005312314,0.054399037321361664,522.7635735979039,0.8333333333333334,45.0,0.8461538461538461,11.0,0.15384615384615385,2.0,0.16666666666666666,9.0,0.8035714285714286,0.8333333333333334,0.8181818181818182,-0.013686222536283973,0.6057800224466892,0.6961079602889656,0.7014925373134329,0.7143130501339456,0.28568694986605436,0.29850746268656714,0.6829327389028883,0.7014925373134329,0.6917684305744007,-0.013686222536283973,0.6476799051425919,0.6326618712712282,0.49242424242424243,0.7014925373134329,0.004,0.0,0.0,0.0,0.0,0.0,7695.0,60877.0,17812.0,100.0,74.6268656716418,'Number of leaves: 8\nSize of the tree: 15\n',15.0,8.0,8.0
house-votes-84-data,8,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01802172004E7,348.0,66.0,53.0,13.0,0.0,80.3030303030303,19.696969696969695,0.0,0.0,0.30903373356203495,0.3978921668294859,99.53925155968159,100.01623002308001,47.273585704749635,47.28973867557568,-0.016152970826041724,0.7162664500719642,0.7165111920541769,-2.447419822127534E-4,0.16734607823926995,0.0025355466399889386,24.053763992751666,1.0,53.0,1.0,13.0,0.0,0.0,0.0,0.0,0.803030303030303,1.0,0.8907563025210083,NaN,0.5,0.6091954022988506,0.803030303030303,0.803030303030303,0.19696969696969696,0.19696969696969696,NaN,0.803030303030303,NaN,NaN,0.5,0.518634622082898,NaN,0.803030303030303,0.002,0.001,0.0,0.0,0.0,0.0,4906.0,60877.0,17812.0,100.0,100.0,'Number of leaves: 1\nSize of the tree: 1\n',1.0,1.0,1.0
