Training Confusion Matrix
 [471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 2]
 [0, 537, 7, 16, 1, 8, 3, 1, 1, 0, 0, 2, 1, 0, 3, 1, 0, 0, 0, 0]
 [1, 10, 514, 23, 0, 15, 2, 0, 0, 0, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0]
 [0, 10, 4, 550, 3, 4, 6, 0, 0, 0, 0, 2, 3, 0, 1, 1, 1, 1, 1, 0]
 [1, 4, 2, 5, 552, 1, 1, 0, 2, 0, 0, 2, 0, 2, 1, 1, 0, 0, 1, 0]
 [1, 16, 9, 4, 2, 553, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0]
 [1, 2, 0, 27, 7, 1, 484, 19, 1, 3, 3, 8, 12, 2, 1, 2, 5, 1, 3, 0]
 [1, 0, 0, 2, 1, 2, 5, 569, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 2, 1]
 [1, 0, 0, 1, 1, 0, 5, 1, 581, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0]
 [0, 3, 0, 1, 0, 1, 1, 2, 0, 580, 3, 0, 1, 1, 0, 0, 1, 0, 0, 0]
 [1, 0, 1, 2, 0, 0, 0, 2, 0, 0, 585, 1, 1, 0, 0, 1, 0, 1, 3, 0]
 [0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 583, 0, 1, 0, 0, 2, 0, 6, 0]
 [0, 4, 1, 14, 3, 0, 3, 1, 0, 0, 0, 3, 554, 2, 2, 1, 2, 0, 1, 0]
 [0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 580, 1, 4, 2, 0, 0, 0]
 [1, 2, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 582, 1, 0, 0, 1, 0]
 [0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 588, 2, 2, 1, 0]
 [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 539, 0, 2, 0]
 [0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 7, 0, 545, 5, 0]
 [2, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 4, 2, 447, 0]
 [18, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 23, 12, 3, 2, 314]]


TestMLE Confusion Matrix
 [24, 12, 14, 18, 17, 9, 18, 22, 14, 19, 18, 21, 14, 14, 15, 17, 14, 13, 15, 10]
 [12, 45, 20, 18, 14, 21, 12, 16, 20, 16, 13, 24, 17, 19, 27, 21, 26, 12, 16, 20]
 [11, 21, 49, 27, 19, 21, 20, 23, 21, 16, 23, 13, 26, 19, 13, 19, 19, 9, 9, 13]
 [11, 19, 22, 47, 19, 24, 20, 23, 10, 16, 28, 19, 17, 21, 25, 14, 11, 15, 17, 14]
 [16, 17, 20, 19, 34, 18, 20, 27, 27, 12, 25, 18, 18, 16, 16, 23, 16, 15, 16, 10]
 [12, 15, 25, 24, 19, 48, 21, 17, 15, 16, 23, 17, 14, 16, 15, 21, 27, 17, 14, 14]
 [11, 23, 12, 19, 19, 17, 66, 17, 19, 16, 20, 14, 14, 15, 22, 15, 15, 19, 16, 13]
 [17, 24, 12, 24, 13, 16, 21, 39, 20, 21, 22, 17, 18, 11, 23, 19, 15, 25, 20, 18]
 [23, 20, 16, 18, 14, 26, 22, 16, 41, 24, 21, 16, 26, 20, 20, 19, 23, 11, 10, 11]
 [18, 16, 15, 25, 24, 11, 26, 25, 15, 49, 16, 19, 11, 26, 22, 27, 11, 20, 15, 6]
 [14, 19, 15, 13, 30, 17, 17, 33, 21, 22, 58, 13, 20, 12, 13, 18, 19, 23, 12, 10]
 [12, 22, 16, 11, 22, 19, 30, 25, 20, 18, 19, 44, 16, 20, 22, 18, 16, 14, 18, 13]
 [15, 19, 15, 22, 14, 22, 18, 16, 19, 20, 25, 23, 35, 23, 17, 26, 17, 18, 18, 11]
 [18, 15, 14, 19, 17, 13, 28, 18, 28, 19, 24, 28, 19, 34, 11, 16, 31, 13, 19, 9]
 [21, 21, 24, 19, 13, 13, 31, 18, 21, 17, 23, 18, 14, 24, 39, 19, 16, 16, 7, 18]
 [17, 29, 16, 22, 19, 17, 13, 23, 19, 12, 23, 17, 16, 29, 21, 51, 10, 20, 10, 14]
 [13, 18, 15, 16, 20, 23, 18, 17, 16, 23, 17, 14, 12, 23, 19, 16, 32, 17, 17, 18]
 [10, 23, 19, 24, 19, 19, 15, 16, 23, 22, 26, 24, 8, 25, 13, 21, 13, 27, 15, 14]
 [12, 12, 18, 17, 14, 12, 19, 18, 15, 13, 16, 14, 16, 11, 15, 21, 23, 15, 22, 7]
 [18, 12, 12, 8, 14, 10, 9, 14, 12, 15, 14, 8, 10, 11, 8, 19, 17, 13, 11, 16]]


TestBayesian Confusion Matrix
 [248, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 2, 4, 3, 28, 4, 7, 5, 12]
 [4, 299, 7, 13, 10, 19, 1, 2, 1, 0, 0, 11, 6, 3, 8, 4, 0, 0, 1, 0]
 [2, 34, 207, 59, 14, 31, 0, 4, 2, 4, 1, 12, 2, 2, 5, 4, 0, 0, 8, 0]
 [0, 9, 15, 303, 22, 2, 5, 7, 0, 0, 1, 3, 23, 0, 1, 0, 0, 0, 1, 0]
 [0, 11, 10, 31, 281, 0, 3, 9, 0, 2, 0, 4, 16, 5, 5, 0, 3, 0, 3, 0]
 [0, 46, 11, 9, 2, 300, 1, 1, 1, 1, 0, 9, 0, 3, 3, 0, 2, 0, 1, 0]
 [0, 7, 2, 43, 14, 0, 263, 26, 3, 1, 0, 2, 9, 1, 2, 3, 2, 2, 2, 0]
 [0, 2, 0, 1, 0, 1, 7, 351, 11, 1, 0, 0, 4, 0, 2, 1, 5, 1, 8, 0]
 [0, 2, 0, 0, 0, 0, 2, 23, 359, 2, 0, 0, 0, 1, 0, 1, 5, 0, 2, 0]
 [1, 2, 0, 1, 1, 2, 3, 4, 1, 360, 10, 2, 3, 2, 0, 1, 1, 0, 3, 0]
 [2, 0, 0, 0, 0, 0, 1, 1, 1, 6, 380, 1, 1, 2, 0, 0, 2, 0, 2, 0]
 [0, 5, 1, 1, 2, 1, 1, 1, 1, 0, 0, 357, 3, 1, 1, 1, 11, 0, 7, 1]
 [3, 20, 1, 26, 10, 2, 1, 15, 4, 0, 0, 33, 264, 5, 4, 3, 1, 0, 0, 1]
 [9, 9, 1, 2, 0, 0, 0, 5, 1, 0, 0, 2, 3, 327, 5, 11, 6, 5, 6, 1]
 [2, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 3, 342, 3, 2, 1, 20, 1]
 [9, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 372, 2, 2, 2, 3]
 [1, 0, 0, 0, 0, 0, 2, 3, 1, 1, 0, 4, 1, 3, 1, 2, 330, 1, 10, 4]
 [17, 2, 0, 0, 0, 0, 0, 3, 1, 1, 1, 3, 0, 0, 1, 5, 7, 313, 21, 1]
 [7, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 4, 0, 2, 7, 1, 95, 5, 181, 4]
 [50, 4, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 5, 54, 19, 4, 9, 101]]
